negationHandled,sentiment
jujur saya pribada masih skaptis dengan salh satu pengawas danantara yang pernah jadi narapidana korupsi boleh bisanya dia ada didalm danantara bukan bermaksud menghakimi seseorang masalhnya sampai saat ini mnusia belum menemukan alat untuk mendeteksi karakter manusia itu sendiri dan ada pepatah mengatakan manusia cenderung susah berubah meskipun sudah bertekat saya khaawatir jika beliau melaukan hal yang sama seperti dulu yang mana ini akan membahayakan nasib bangsa indonesia,Negatif
sbenernya boleh dibawa jauh lebih simpel dari itu yaitu bikin track record menentukan segalanya mau faktanya sudah berubah jadi orang paling mulia sekalipun kalau track recordnya sudah kotor iya otomatis harus dicoret dan semua harus legowo ini risk management paling basic tetapi iya namanya politik diabetes ala konoha bagian sudah busuk yang harusnya diamputasi masi saja dipertahanin keren mau dipakein obat tradisional aka khusnudzonprasangka baik yang sayangnya salah waktu salah tempat salah sasaran,Negatif
apa jangan² pak prabowo ad terikat politik balas budi waktu pemilu kemarin dengan mantan napi ini siapa yang tau iya kan,Positif
mantap bang,Positif
berharap saja penegelolaan keuangan danantara boleh transparan sehingga masyarakat boleh mengawasi jangan buat indonesia gelap,Negatif
di indonesia sebenarnya banyak untuk menciptakan lapangan kerja tingkat daerah kerjaan tingkat kecil tukang bersih lingkungan saja itu banyaktukang sapu dan sampah itu diambil dari dana desa saja akan menyerap tenaga kerja banyakkalau gaji memadai tentu masyarakat yang membutuhkan pekerjaan dari pada jadi pemulung ataupun gelandangantentu mereka akan memilih pekerjaan inidesakota pun akan bersih belum yang petani nganggur di indonesia itu banya tanah negara yang kosong bukan boleh di kelola sesuai sifat tanahnyatebujagung kolam ikan kalau boleh padi iya padi di indonesia itu tidak kurang insinyur pertaniandan petani pengangguran boleh dibayar perbulan oleh negarakorporasi,Negatif
salah satu co danantara bilang danantara masih bayi tetapi sudah dituntut ini itu halo danantara dia kira tempat untuk belajar masa depan indonesia benar dipertaruhkan disini aku cuma mohon untuk semua pimpinan dan staf danantara saat ini jika kalian tidak punya cukup pengetahuan dan kopetensi mengelola uang sebesar itu dalam bidang investasi saya mohon segera mengundurkan diri sebab danantara bukan tempat untuk orang yang baru mulai belajar,Negatif
bang saya mohon jangan berhentikan menyuarakan anda perwakilan kami warga masyarakat biasa soal negri ini,Netral
sulit,Negatif
melihat kesuksesan penyelenggaraan pemilu kemarin dan pengelolaan pertamina yang baik kita harus tetap optimis dan perbanyak istigfar,Positif
danantara indonesia harus transparansi dan boleh di audit oleh bpkkpk tetapi ada yang menggo nih katanya tidak di perbolehlan nge audit tanpa persetujuan dari dpr,Positif
untuk memajukan bangsa ini sulit keren korupsi masih merupakan penyakit yang akut tidak ada kata lain untuk berantas korupsi dengan cara memiskinkan dengan menyita semua aset dan menghukum dengan hukuman maksimal para koruptor hanya itu yang boleh membuat indonesia boleh maju,Negatif
raymond yang mengurusi danantara mayoritas politikus amatir akankah danantara menjadi the nd mdb wil se,Netral
gagal,Negatif
terimakasih,Positif
triliun itu bukan dana kas semua bang itu bentuknya aset lagian ngapain aset yang digemborkan memangnya itu aset mau digadaikan atau buat agunan ambil dana luar,Negatif
pak sumitro jhk kwik ong kok ham yusuf hamka dan ini satu lagi anak muda raymond yang sangat kental nasionalismenya saya bangga kpdmu raymond,Positif
ente paham tidak sih yang diomongintiba nyanjung yang dia bahas soal skeptisme terhadap prog ambuuradul wowo,Negatif
track record para petinggi danantara perlu dicermati layak punya kapasitas dan integritas jujur cerdas nasionalis dst atau sebaliknya justru garong alim yang necis,Positif
selama koruptor masih mendarah daging apapun programnya tidak bakalan beres yakin sudah,Negatif
tony blair penjahat perang ditunjuk jadi dewan pengawas danantara saja sudah aneh,Negatif
kalau investasidi dalam negri dan konsumennya rakyat iya rakyatnya juga yang bangkrut karena inflasinya di indinesia itu gilagila an beda ama brunei darusallam tahun saja belum ada inflasi apapun,Negatif
mdb beda sama khazanah nasional boleh konsep beda tujuandanantara ini mirip khazanah nasional bkn mdbcari saja perbedaannya di gugelkonoha nih slalu maksa bandingin sama yang gagalheran wkwkw,Negatif
apa yang terjadi jika di dlm danantara ada si mulyono manis terkorup di dunia kehancuran total,Negatif
we are doom,Netral
raymon ini channel oposisi paling baik memuji tetapi mengkritik dan pemberi harapan boleh membedakan kritik dan hujatan hasil sakit hati good job mon,Negatif
benar mohon maaf saja nih banyak di sosmed kebanyakan cuman boleh koar kritik tetapi tidak ngasih solusi sementara ngab raymon ngasih jadinya yang tidak paham atau juga resah mungkin tahu harus bagaimana juga tidak asal teriakteriak,Positif
yes setuju beginilah oposisi yang benar dan cerdas keren berangkat dari kata hati yang sama cinta tanah air,Positif
koh chin bukan oposisi beliau wakil rakyat,Netral
bener tidak solusi pun gp tetapi penjelasannya kenapa begini kenapa begitu ada data yang valid dipakai untuk bahan diskusi kritik,Positif
bukan oposisi oposisi itu orang yang kerjanya selalu menentang dia bukan oposisi tetapi penyampai pendapat ada yang dia setuju ada yang tidak,Positif
iya bisa juga begitu bagus yang seperti itu jelek iya jelek bagus iya bagus,Netral
kalau masih ada rezim ternak jokowi di kabinet indonesia paradoks cuma omon omon wowo tai,Negatif
salah pak oposisi bukan orang yang selalu menentang oposisi juga ada setuju dan tidaknya,Netral
rata orang kritik seperti gitu bukan jadi penjilat bagaimana si kamu,Netral
tetapi saya yakin pasti gagal,Netral
mari berdoa semoga mereka amanah,Positif
intinya harus tidak ada kepentingan pribadi para pencetus dan pengelolanya seberapa besar mereka sanggup berkorban harta jangan malah mengumpulkan harta lagi bagi pribadi kelompok dan komunitas masingmasing,Netral
pemerintah buktikan bahwa kalian mau berjerih lelah buat kesejahteraan masyarakat kalian,Negatif
misinya bagus tetapi orangorangnya mental korup harus diberangus,Positif
maaf dinegara yang kata korupsi masih marak superholding pasti bencana,Negatif
masih tidak percaya dan se tidak percaya itu maaf iya danantara misimu baik tetapi orang di dalamnya yang bikin skeptis apalagi ada mulyono di dalamnya makin tidak percaya,Positif
saya ikut serta kak,Netral
semoga kamu istiqomah dijalan kejujuran bang ray,Positif
pesimis,Netral
orang yang d cap dunia koruptor jadi dewan penasehat tanpa penegakan hukum dan masih banyak nya peng peng sulit negeri ini untuk bangkit,Positif
ini harus trending edukasi masyarakat membuka akal dan pikirankalian harus support dukung danantara untuk kemajuanpeluang kerja jika danantara ada korup hukum indonesia itu harus tegas potong kedua tangannya,Positif
mau kawal bagaimana bangharusnya kalau memang mau amanpake blokchain biar semua rakyat boleh akses dan uangnya kemana ajatapi waktu pemilu ada orang nyaranin pake itu juga di tolak bagaimana ini yang lebih besar tidak bakal transparan,Positif
pertamina sudah lengkap pengawasnya dari negara dan internal tetapi korup t lolos aman² selama tahun si erick berkuasa di kemen bumn,Netral
minimal adili jokowi dulu gih,Positif
buzzer ini,Netral
alasan detail nya,Negatif
coba ulasan ikn dari awal sampai akhir yang akhirnya nyesel kok sekarang spt ini lagi apakah tidak gegabah rasanya ada yang aneh,Negatif
apanya yang di kawal ketuanya tim masih jokowi prabowo hanya boneka,Netral
tangkap adili jokowi dan kroni kroninya baru rakyat percaya,Positif
orang boleh trust itu tidak dapat dipaksa jika bukti sejenis lembaga ini sebelumnya selalu gsgal lantas bagaimana orang dapat percaya bereskan dulu masalah lembaga investasi yang sekarang masih gaib solusinya bereskan koruptornya bukannya aksnakandan akan,Negatif
korupsi di soal tkmah pertamina soal psn saja wowo tidak ada nyali bung kalian masih percaya,Netral
ngimpi,Netral
korupnya dari atas kebawah merata cukup dimaafkan habis perkara,Positif
suport dengan menbah payung keamanan melalui kepres hukuman mati bagi koruptor di departemen pemerintahan dan oknum sipil yang merugikan negara baru agak percaya kalau berani tetapi kalau cuma los dol tanpa payung hukum yang ngefek ke koruptor iya sama saja dengan bikin lahan baru untykmaling yang lebih veri very biges,Negatif
bagaimana boleh dipercaya wong ex koruptor dan peraih nominasi koruptor dunia si wiwi ikut ambil bagian,Positif
kok ngantuk yah,Netral
​ siapa coba perasaan visi pak prabowo memang ada yang memberantas korupsi dan buktinya sudah jelas akhir ini banyak kasus korup terkuak padahal ini baru masa jabatan tahun pertama itu janji yang benr ditepatin loh coba jelasij statementmu kenapa boleh bilang begitu tolong jgn bertele menjelaskan dan jgn out of topic,Positif
apa yang boleh diharapkan kalau pimpinannya finalis koruptor,Positif
sah kan dulu kamu perampasan aset koruptor baru boleh dipercaya,Negatif
pejabat nya mantan koruptor masuk dinantara dan ceo punya jabatan mentri mau ngelawak kamu mana mau percaya,Netral
lah bukan erick doang presidennya jokowi komutnya ahok kok masih kecolongan yak,Negatif
keren si erick ini yang dikasih tugas sbg pengawas dan si et juga yang angkat direksi ssmua bumn ps masih percaya erick tohir sbg ketua dewan pengawas di dananantara,Positif
kenapa tidak demo ke dpr saja,Negatif
bro kan katanya danantara bebas dari audit yang di audit saja ambyar apalagi yang tidak di audit lucu uang milik masyarakat tetapi tidak boleh di ganggu gugat,Negatif
indonesia menuju rungkadasli ini mah,Netral
aga pesimis sih tetapi yaudah lah kita liat bagaimana nanti kedepannya enggan muluk muluk sama ngarep besar yang penting berjalan dengan benar sama tidak dikorupsi,Negatif
moga saja danantara tidak sprti mdb malaysia,Negatif
pertaruhan yang sangat beresiko test korupsi pakai duit besar sementara duit yang lebih kecil tidak ada yang aman dari korupsi,Negatif
mari kita berdoa bersama sambil tentunya membangun diri sendiri so jangan cuma bisanya maki² karena itu sudah tidak jaman maki² cuma ngotorin hati,Netral
taruhan pasti banyak tikus yang siap merajalela,Netral
jelas lah trilliun padahal boleh lunasi hutang pinjol sebesar trilliun seluruh rakyat indonesia boleh makan siang gratis dan sekolah gratis fasilitas umum gratis bahan pokok dan pangan turun dan stabil merata boleh lunasi hutang impor bahan pokok kita boleh pengobatan gratis boleh bangun jalur kereta cepat seluruh indo pikir bro banyak hal boleh dilakukan dengan trilliun dan semua hal itu boleh langsung dilakukan tanpa perlu danantara tetapi semua perlu pake nama danantara dulu baru dijalankan tiap hari nyolong trilliun buat pesta pora saja tidak terasa sumpah,Positif
buat apa coba danantara padahal boleh dilakukan langsung semua kenapa harus ribet pake danantara padahal tinggal lunasi bayar bayar jujur bro masi bersisa trilliun bangun ikn juga masi boleh kenapa harus pake cara ribet danantara dan direksi anggota dan pengawas saja pelaku korupsi semua,Negatif
maaf sudah tidak percaya lagi sama pemerintahan indonesia,Positif
tugas kita cuman harus menghasut manusia yang masih hidup untuk melakukan kebaikan dan mencegah keburukan dari otak yang gila menjadi waras,Negatif
sayang tuan dagu harapan dan halusinasi adalah tetangga tolong jangan salah masuk rumah terima kasih kamu,Positif
harus transparan tidak boleh di tutupi seperti biasanya bikin web khusus biar rakyat boleh liat atau upload di sosmed seperti elon simpel tetapi berat dilakukan penjabat indo,Negatif
saya salah awalnya kupikir memang danantara ini adalah cara judy buat keuntungan maksimal negara dengan resiko maksimal kehancuran negara tetapi satusatunya cara agar ini tidak judy iya benar kata dia bahwa ini harus check and balance juga transparan bagi siapapun satu indonesia dengan harapan ini harusnya belum gagal bahkan sekali karena gagal sekali dampaknya akan sangat parah dan pasti buruk iya semoga ini akan jadi satusatunya doa dan usaha bagus yang kita lakukan aamiin,Negatif
pasti gagallah kan mau dibubarin makanya diisi sama malingmaling semua,Negatif
yang saya rasakan jaman rejim ini luar biasa,Positif
kurang percaya klw tidak korup selama undang undang undang perampasan aset tidak di getok dpr tiap sektor banyak tikusnya,Negatif
apakah duit ribu sehari boleh mengatasi stunting sepele banget rupanya,Netral
agak masih ragu saja takut ttp ada yang korup,Negatif
danantara harus dipegang sama swasta baru benar,Positif
ku menanti sampai kapan datangnya keadilan sosial bagi seluruh rakyat indonesia,Negatif
danantarasource from dpkdana pihak ketiga,Netral
terimakasih bang,Positif
masak garong no dunia suruh ngawasin,Negatif
prabowo hanya ber api saat pidato mau ikut gaya soekarno kw dalam eksekusinya nol besar,Negatif
disatuin dana gitu bang dlm satu tempat saran saja sampein k pemimpin awas hacker mengintai pasang security hack juga kalau perlu pakai enigma yang di ganti terus pasword nya tiap hr oke smngt danantara,Negatif
ambil dari para koruptor buat modal dana danantara,Negatif
jgn terlalu berharap kamu no th ada indikasi danan ini jadi lembaga superbody yang tidak tersentuh pengawasan waspadai itu,Negatif
kalau tidak boleh diaudit secara terbuka dan gelap takutnya dikorup atau untuk kebutuhan politik tertentu,Negatif
jangan takut untuk mengambil langkah besar karena anda tidak boleh melewati jurang dalam dua lompatan kecil — david lloyd george,Negatif
begitu liat nama jokowi saja saya sudah yakin pasti dikorupsi pasti saya yakin pasti,Negatif
mau optimis sebenerny tetapi bagaimana iya track record yang berbicara pemerintah perlu benahi dulu masalah kepercayaan publik,Positif
otak penguasa dengan dalih kesejahteraan rakyat sedang membuat sistem tuas leverage sekali putar boleh menggerakaan ekonomi secara berlipat multiplier effect berdaya kali dengan usaha yang kecil namun hasil lebih besar helloooprinsip ini mirip sekali dengan otak saat kita memulai judi selalu dimimpikan dengah konsep leverage tetapi apa yang terjadi pada umumnya bangkrupt bos entah itu faktor sdm sistem apapun itu jika cara kita berpikir kita bertaroh maka tinggal waktu indonesia akan bangkrut mending bertahan sistem yang ada arus pdb sedikit tetapi kalau sistem nya anti korup akan aman,Negatif
k triliun itu tidak semuanya liquid yang liquid itu kalau bentuknya duit sedangkan danantara itu kebanyakan aset bukan duit kenapa takut kan bentuknya korporat dan laporannya kalau korporat itu terbuka kan siapa saja boleh audit itu artinya boleh ditonton publik laporannya,Netral
